invno,filename,added_category,added_depicts_q,added_depicts_label,added_caption_sv,updated_description_sv
NMAx.0030805,Svenska Renault AB. Bilar i natur - Nordiska museet - NMAx.0030805.tif,Renault 4,,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",Images from Nordiska museet: 2023-01,,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",Erik Holmén,,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",,Q81895,sked,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",,Q32489,kniv,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",,Q81881,gaffel,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",,,,"Sked, kniv och gaffel",
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",,,,,
???,"Bestick, sked, kniv, gaffel - Nordiska museet - Nordiska kompaniet NK K3c 2 0014.tif",,,,,"Bestick: sked, kniv, gaffel."
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",Avenue des Champs-Élysées (Paris),,,,
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",Paris in the 1960s,,,,
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",,Q64436,Triumfbågen,,,
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",,Q550,Champs-Élysées,,,
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",,,,"Flera kvinnor går på trottoaren på Champs Élysées i Paris, till höger syns butiken ""André"". I bakgrunden syns Arc de Triomphe.",
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",,,,,
NMAx.0032518,"Tyskland Berlin, allmänt - Nordiska museet - NMAx.0032518.tif",,,,,
NMAx.0000779,Runar Karlströmer Porträtt Hälsingborg - Nordiska museet - NMAx.0000779.tif,Photographs by K.W. Gullers,,,,
NMAx.0000779,Runar Karlströmer Porträtt Hälsingborg - Nordiska museet - NMAx.0000779.tif,Runar Karlströmer,,,,
NMAx.0000779,Runar Karlströmer Porträtt Hälsingborg - Nordiska museet - NMAx.0000779.tif,,Q5902468,Runar Karlströmer,,,
NMAx.0009363,Göteborgsboken - Nordiska museet - NMAx.0009363.tif,1947 in Göteborg,,,,
NMAx.0009363,Göteborgsboken - Nordiska museet - NMAx.0009363.tif,Nya Varvet,,,,
NMAx.0009363,Göteborgsboken - Nordiska museet - NMAx.0009363.tif,,,,Flottister vid Nya varvet. Ryahamnen i bakgrunden.,
NMAx.0009361,Göteborgsboken - Nordiska museet - NMAx.0009361.tif,1947 in Göteborg,,,,
NMAx.0009361,Göteborgsboken - Nordiska museet - NMAx.0009361.tif,"Gasklockan, Göteborg",,,,
NMAx.0009361,Göteborgsboken - Nordiska museet - NMAx.0009361.tif,,Q10503242,"Gasklockan, Göteborg",,,
NMAx.0009361,Göteborgsboken - Nordiska museet - NMAx.0009361.tif,,,,Gasverket med lilla och stora gasklockorna,
NMAx.0002322,SAAB Flygverkstäderna Linköping - Nordiska museet - NMAx.0002322.tif,Saab 37 Viggen,,,,
NMAx.0002322,SAAB Flygverkstäderna Linköping - Nordiska museet - NMAx.0002322.tif,Photographs by Peter Gullers,,,,
NMAx.0002322,SAAB Flygverkstäderna Linköping - Nordiska museet - NMAx.0002322.tif,,Q206592,jetdriven flygmaskin,,,
NMAx.0002322,SAAB Flygverkstäderna Linköping - Nordiska museet - NMAx.0002322.tif,,Q178777,jetmotor,,,
NMAx.0002322,SAAB Flygverkstäderna Linköping - Nordiska museet - NMAx.0002322.tif,,,,,SAAB Flygverkstäderna i Linköping
